ID,Title,Desc,Type,BodyPart,Equipment,Level,Rating,VideoTitle,YouTubeChannel,YouTubeLink,VideoMatch
1,Push Up,Push Up exercise targeting chest. Use controlled form and a suitable resistance for the beginner level.,Strength,Chest,Bodyweight,Beginner,4.8,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Exact
2,Incline Push Up,Incline Push Up exercise targeting chest. Use controlled form and a suitable resistance for the beginner level.,Strength,Chest,Bodyweight,Beginner,4.6,How to do an Incline Push-Up | Proper Form & Technique,NASM,https://www.youtube.com/watch?v=0JUrOH--Kdk,Exact
3,Knee Push Up,Knee Push Up exercise targeting chest. Use controlled form and a suitable resistance for the beginner level.,Strength,Chest,Bodyweight,Beginner,4.5,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Related
4,Wide Push Up,Wide Push Up exercise targeting chest. Use controlled form and a suitable resistance for the beginner level.,Strength,Chest,Bodyweight,Beginner,4.6,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Related
5,Diamond Push Up,Diamond Push Up exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Bodyweight,Intermediate,4.7,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Related
6,Decline Push Up,Decline Push Up exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Bench,Intermediate,4.7,Decline Push Up - Exercise Demonstration,FITBODY with Julie Lohre,https://www.youtube.com/watch?v=GYTvJmDzoD0,Exact
7,Archer Push Up,Archer Push Up exercise targeting chest. Use controlled form and a suitable resistance for the pro level.,Strength,Chest,Bodyweight,Pro,4.9,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Related
8,Dumbbell Bench Press,Dumbbell Bench Press exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Dumbbells,Intermediate,4.9,How To Do An Incline Dumbbell Press,PureGym,https://www.youtube.com/watch?v=oZVCBM9f8Eo,Related
9,Barbell Bench Press,Barbell Bench Press exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Barbell,Intermediate,5.0,Barbell Bench Press | Exercise | How To Do A Barbell Bench Press,Usman Ali Fitness,https://www.youtube.com/watch?v=M_YRPBqagBk,Exact
10,Incline Dumbbell Press,Incline Dumbbell Press exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Dumbbells,Intermediate,4.9,How To Do A Dumbbell Incline Press,PureGym,https://www.youtube.com/watch?v=oZVCBM9f8Eo,Exact
11,Incline Barbell Press,Incline Barbell Press exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Barbell,Intermediate,4.8,Barbell Bench Press | Exercise | How To Do A Barbell Bench Press,Usman Ali Fitness,https://www.youtube.com/watch?v=M_YRPBqagBk,Related
12,Decline Bench Press,Decline Bench Press exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Barbell,Intermediate,4.7,Barbell Bench Press | Exercise | How To Do A Barbell Bench Press,Usman Ali Fitness,https://www.youtube.com/watch?v=M_YRPBqagBk,Related
13,Dumbbell Chest Fly,Dumbbell Chest Fly exercise targeting chest. Use controlled form and a suitable resistance for the beginner level.,Strength,Chest,Dumbbells,Beginner,4.6,Dumbbell Chest Fly Exercise Tutorial,Runna,https://www.youtube.com/watch?v=oZVCBM9f8Eo,Related
14,Cable Chest Fly,Cable Chest Fly exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Cable Machine,Intermediate,4.8,How To: Cable Chest Fly (Low-To-High),Muscular Strength,https://www.youtube.com/watch?v=oZVCBM9f8Eo,Related
15,Pec Deck Fly,Pec Deck Fly exercise targeting chest. Use controlled form and a suitable resistance for the beginner level.,Strength,Chest,Pec Deck Machine,Beginner,4.7,How To Do A Pec Deck Fly | Exercise Demonstration Video and Guide,Live Lean TV,https://www.youtube.com/watch?v=YG5RHe7xdmw,Exact
16,Dumbbell Pullover,Dumbbell Pullover exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Dumbbell,Intermediate,4.5,Dumbbell Chest Fly / Chest Technique,Runna,https://www.youtube.com/watch?v=oZVCBM9f8Eo,Related
17,Clap Push Up,Clap Push Up exercise targeting chest. Use controlled form and a suitable resistance for the pro level.,Power,Chest,Bodyweight,Pro,4.8,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Related
18,Chest Dips,Chest Dips exercise targeting chest. Use controlled form and a suitable resistance for the intermediate level.,Strength,Chest,Dip Bars,Intermediate,4.9,How to Do Triceps Bench Dips,Howcast,https://www.youtube.com/watch?v=0326dy_-CzM,Related
19,Weighted Dips,Weighted Dips exercise targeting chest. Use controlled form and a suitable resistance for the pro level.,Strength,Chest,Dip Belt,Pro,4.9,How to Do Triceps Bench Dips,Howcast,https://www.youtube.com/watch?v=0326dy_-CzM,Related
20,Lat Pulldown,Lat Pulldown exercise targeting back. Use controlled form and a suitable resistance for the beginner level.,Strength,Back,Cable Machine,Beginner,4.8,Gym basics: Lat pulldown for beginners,UC Davis Health,https://www.youtube.com/watch?v=oMJmAHRZXBk,Exact
21,Assisted Pull Up,Assisted Pull Up exercise targeting back. Use controlled form and a suitable resistance for the beginner level.,Strength,Back,Assisted Pull Up Machine,Beginner,4.7,Assisted Pull-Up Technique,NASM,https://www.youtube.com/watch?v=oMJmAHRZXBk,Related
22,Pull Up,Pull Up exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Pull Up Bar,Intermediate,4.9,How To: Pull-Up | Proper Form,Scott Herman Fitness,https://www.youtube.com/watch?v=oMJmAHRZXBk,Related
23,Chin Up,Chin Up exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Pull Up Bar,Intermediate,4.9,How To: Pull-Up | Proper Form,Scott Herman Fitness,https://www.youtube.com/watch?v=oMJmAHRZXBk,Related
24,Wide Grip Pull Up,Wide Grip Pull Up exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Pull Up Bar,Intermediate,4.8,How To: Pull-Up | Proper Form,Scott Herman Fitness,https://www.youtube.com/watch?v=oMJmAHRZXBk,Related
25,Neutral Grip Pull Up,Neutral Grip Pull Up exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Pull Up Bar,Intermediate,4.8,How To: Pull-Up | Proper Form,Scott Herman Fitness,https://www.youtube.com/watch?v=oMJmAHRZXBk,Related
26,Muscle Up,Muscle Up exercise targeting back. Use controlled form and a suitable resistance for the pro level.,Power,Back,Pull Up Bar,Pro,5.0,How To: Pull-Up | Proper Form,Scott Herman Fitness,https://www.youtube.com/watch?v=oMJmAHRZXBk,Related
27,Barbell Bent Over Row,Barbell Bent Over Row exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Barbell,Intermediate,5.0,Barbell Bent Over Row,QMotion,https://www.youtube.com/watch?v=yvb5ekkDrOc,Exact
28,Dumbbell Row,Dumbbell Row exercise targeting back. Use controlled form and a suitable resistance for the beginner level.,Strength,Back,Dumbbell,Beginner,4.9,Barbell Bent Over Row,QMotion,https://www.youtube.com/watch?v=yvb5ekkDrOc,Related
29,Seated Cable Row,Seated Cable Row exercise targeting back. Use controlled form and a suitable resistance for the beginner level.,Strength,Back,Cable Machine,Beginner,4.8,Seated Cable Row | Exercise Guide,Bodybuilding.com,https://www.youtube.com/watch?v=xQNrFHEMhI4,Exact
30,T Bar Row,T Bar Row exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,T Bar Machine,Intermediate,4.8,How to do a T-Bar Row,Prototyperspective / Wikimedia,https://www.youtube.com/watch?v=kw-MpuL5vOw,Exact
31,Chest Supported Row,Chest Supported Row exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Dumbbells,Intermediate,4.8,Barbell Bent Over Row,QMotion,https://www.youtube.com/watch?v=yvb5ekkDrOc,Related
32,Single Arm Cable Row,Single Arm Cable Row exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Cable Machine,Intermediate,4.7,Seated Cable Row | Exercise Guide,Bodybuilding.com,https://www.youtube.com/watch?v=xQNrFHEMhI4,Related
33,Deadlift,Deadlift exercise targeting back. Use controlled form and a suitable resistance for the pro level.,Strength,Back,Barbell,Pro,5.0,Romanian Deadlift / Hip Hinge Technique,Jack Hanrahan Fitness,https://www.youtube.com/watch?v=ZEnWV4kguKc,Related
34,Romanian Deadlift,Romanian Deadlift exercise targeting hamstrings. Use controlled form and a suitable resistance for the intermediate level.,Strength,Hamstrings,Barbell,Intermediate,4.9,How to do romanian deadlifts safely,Jack Hanrahan Fitness,https://www.youtube.com/watch?v=ZEnWV4kguKc,Exact
35,Rack Pull,Rack Pull exercise targeting back. Use controlled form and a suitable resistance for the pro level.,Strength,Back,Barbell,Pro,4.7,Romanian Deadlift / Hip Hinge Technique,Jack Hanrahan Fitness,https://www.youtube.com/watch?v=ZEnWV4kguKc,Related
36,Face Pull,Face Pull exercise targeting back. Use controlled form and a suitable resistance for the beginner level.,Strength,Back,Cable Machine,Beginner,4.8,Cable Row / Scapular Pulling Technique,Bodybuilding.com,https://www.youtube.com/watch?v=xQNrFHEMhI4,Related
37,Straight Arm Pulldown,Straight Arm Pulldown exercise targeting back. Use controlled form and a suitable resistance for the beginner level.,Strength,Back,Cable Machine,Beginner,4.6,Lat Pulldown Technique,UC Davis Health,https://www.youtube.com/watch?v=oMJmAHRZXBk,Related
38,Barbell Shrug,Barbell Shrug exercise targeting back. Use controlled form and a suitable resistance for the intermediate level.,Strength,Back,Barbell,Intermediate,4.7,Barbell Bent Over Row,QMotion,https://www.youtube.com/watch?v=yvb5ekkDrOc,Related
39,Overhead Shoulder Press,Overhead Shoulder Press exercise targeting shoulders. Use controlled form and a suitable resistance for the beginner level.,Strength,Shoulders,Dumbbells,Beginner,4.7,How to Do a Dumbbell Shoulder Press,LIVESTRONG,https://www.youtube.com/watch?v=B-aVuyhvLHU,Exact
40,Dumbbell Shoulder Press,Dumbbell Shoulder Press exercise targeting shoulders. Use controlled form and a suitable resistance for the beginner level.,Strength,Shoulders,Dumbbells,Beginner,4.8,How to Do a Dumbbell Shoulder Press,LIVESTRONG,https://www.youtube.com/watch?v=B-aVuyhvLHU,Exact
41,Barbell Overhead Press,Barbell Overhead Press exercise targeting shoulders. Use controlled form and a suitable resistance for the intermediate level.,Strength,Shoulders,Barbell,Intermediate,4.9,How to Do a Dumbbell Shoulder Press,LIVESTRONG,https://www.youtube.com/watch?v=B-aVuyhvLHU,Related
42,Arnold Press,Arnold Press exercise targeting shoulders. Use controlled form and a suitable resistance for the intermediate level.,Strength,Shoulders,Dumbbells,Intermediate,4.8,Arnold Press,Fit Media,https://www.youtube.com/watch?v=B-aVuyhvLHU,Related
43,Lateral Raise,Lateral Raise exercise targeting shoulders. Use controlled form and a suitable resistance for the beginner level.,Strength,Shoulders,Dumbbells,Beginner,4.9,How To: Dumbbell Side Lateral Raise,Scott Herman Fitness,https://www.youtube.com/watch?v=3VcKaXpzqRo,Exact
44,Cable Lateral Raise,Cable Lateral Raise exercise targeting shoulders. Use controlled form and a suitable resistance for the intermediate level.,Strength,Shoulders,Cable Machine,Intermediate,4.8,How To: Dumbbell Side Lateral Raise,Scott Herman Fitness,https://www.youtube.com/watch?v=3VcKaXpzqRo,Related
45,Front Raise,Front Raise exercise targeting shoulders. Use controlled form and a suitable resistance for the beginner level.,Strength,Shoulders,Dumbbells,Beginner,4.5,How to Do a Dumbbell Shoulder Press,LIVESTRONG,https://www.youtube.com/watch?v=B-aVuyhvLHU,Related
46,Rear Delt Fly,Rear Delt Fly exercise targeting shoulders. Use controlled form and a suitable resistance for the beginner level.,Strength,Shoulders,Dumbbells,Beginner,4.7,Rear Delt Fly Technique,Exercise Tutorial,https://www.youtube.com/watch?v=3VcKaXpzqRo,Related
47,Reverse Pec Deck,Reverse Pec Deck exercise targeting shoulders. Use controlled form and a suitable resistance for the beginner level.,Strength,Shoulders,Pec Deck Machine,Beginner,4.7,Rear Delt Fly Technique,Exercise Tutorial,https://www.youtube.com/watch?v=3VcKaXpzqRo,Related
48,Push Press,Push Press exercise targeting shoulders. Use controlled form and a suitable resistance for the pro level.,Power,Shoulders,Barbell,Pro,4.8,How to Do a Dumbbell Shoulder Press,LIVESTRONG,https://www.youtube.com/watch?v=B-aVuyhvLHU,Related
49,Handstand Push Up,Handstand Push Up exercise targeting shoulders. Use controlled form and a suitable resistance for the pro level.,Strength,Shoulders,Bodyweight,Pro,4.9,The RIGHT Way To Do Push-Ups (PERFECT FORM),Mind Pump TV,https://www.youtube.com/watch?v=i9sTjhN4Z3M,Related
50,Bicep Curl,Bicep Curl exercise targeting biceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Biceps,Dumbbells,Beginner,4.8,How to Do a Barbell Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=kwG2ipFRgfo,Related
51,Hammer Curl,Hammer Curl exercise targeting biceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Biceps,Dumbbells,Beginner,4.9,How to Do a Hammer Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=TwD-YGVP4Bk,Exact
52,Barbell Curl,Barbell Curl exercise targeting biceps. Use controlled form and a suitable resistance for the intermediate level.,Strength,Biceps,Barbell,Intermediate,4.9,How to Do a Barbell Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=kwG2ipFRgfo,Exact
53,EZ Bar Curl,EZ Bar Curl exercise targeting biceps. Use controlled form and a suitable resistance for the beginner level.,Strength,Biceps,EZ Bar,Beginner,4.8,How to Do a Barbell Curl | Arm Workout,Howcast,https://www.youtube.com/watch?v=kwG2ipFRgfo,Related
